Designation,m,h,b,tw,tf,r1,hw,A,Ix,Zex,Zplx,rx,Iy,Zey,ry,J,Cw
IPE-AA100,6.72,97.6,55,3.6,4.5,7,74.6,0.856,1.36,27.8,31.9,39.8,0.126,4.57,12.1,7.33,0.272
IPE100,8.1,100,55,4.1,5.7,7,74.6,1.03,1.71,34.2,39.4,40.7,0.159,5.79,12.4,12.1,0.354
IPE-AA120,8.36,117,64,3.8,4.8,7,93.4,1.06,2.44,41.7,47.3,47.9,0.211,6.59,14.1,9.55,0.663
IPE120,10.4,120,64,4.4,6.3,7,93.4,1.32,3.18,53,60.7,49,0.277,8.65,14.5,17.4,0.894
IPE-AA140,10.1,136.6,73,3.8,5.2,7,112,1.28,4.07,59.7,67.6,56.4,0.338,9.27,16.3,12,1.46
IPE140,12.9,140,73,4.7,6.9,7,112,1.64,5.41,77.3,88.3,57.4,0.449,12.3,16.5,24.6,1.99
IPE-AA160,12.3,156.4,82,4,5.6,9,127,1.57,6.59,84.3,95.2,64.8,0.517,12.6,18.1,18.2,2.94
IPE160,15.8,160,82,5,7.4,9,127,2.01,8.69,109,124,65.8,0.683,16.7,18.4,36.2,3.98
IPE-AA180,14.9,176.4,91,4.3,6.2,9,146,1.9,10.2,116,130,73.2,0.781,17.2,20.3,24.9,5.66
IPE180,18.8,180,91,5.3,8,9,146,2.39,13.2,146,166,74.2,1.01,22.2,20.5,48.1,7.46
IPE-AA200,18,196.4,100,4.5,6.7,12,159,2.29,15.3,156,176,81.9,1.12,22.4,22.1,38.7,10.1
IPE200,22.4,200,100,5.6,8.5,12,159,2.85,19.4,194,221,82.6,1.42,28.5,22.4,70.2,13.1
203x133x25,25.1,203.2,133.4,5.7,7.8,7.6,172,3.22,23.5,231,259,85.4,3.09,46.3,31,59,29.5
203x133x30,30,206.8,133.8,6.4,9.6,7.6,172,3.8,28.9,279,313,87.2,3.84,57.4,31.8,103,37.3
